cout,avg_ms_tt_reconstructed,avg_ms_tt_factorized
8,1.718,1.726
12,1.721,1.712
16,1.751,1.661
20,1.733,1.671
64,1.753,1.683
128,1.845,1.845
256,2.616,2.615
